,year,season,jp_title,en_title,img,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Theme,Genre
0,2021,summer,Tensei shitara Slime Datta Ken 2nd Season Part 2,That Time I Got Reincarnated as a Slime Season 2 Part 2,https://cdn.myanimelist.net/images/anime/1033/118296.jpg,Tensura 2,転生したらスライムだった件,That Time I Got Reincarnated as a Slime Season 2 Part 2,Meine Wiedergeburt als Schleim in einer anderen Welt Staffel 2 Teil 2,That Time I Got Reincarnated as a Slime Temporada 2 Parte 2,"Moi, Quand Je Me Réincarne en Slime Saison 2 Partie 2",TV,12,Finished Airing,"Jul 6, 2021 to Sep 21, 2021",Summer 2021,Tuesdays at 23,"Kodansha,       BS11,       Bandai Namco Arts,       Micro Magazine Publishing,       Bandai Spirits,       Sony Music Solutions,       ADK Marketing Solutions",Crunchyroll,8bit,Manga,"ActionAction,         ComedyComedy,         FantasyFantasy","IsekaiIsekai,         ReincarnationReincarnation",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.311 (scored by 482445482,445 users)
      


1
          indicates a weighted score.","#2692

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#240,"835,843","10,975",,
1,2021,summer,Kobayashi-san Chi no Maid Dragon S,Miss Kobayashi's Dragon Maid S,https://cdn.myanimelist.net/images/anime/1252/115539.jpg,"Kobayashi-san Chi no Maid Dragon 2nd Season, Miss Kobayashi's Dragon Maid 2nd Season",小林さんちのメイドラゴンS,Miss Kobayashi's Dragon Maid S,Miss Kobayashi's Dragon Maid S,Miss Kobayashi's Dragon Maid S,Miss Kobayashi's Dragon Maid S,TV,12,Finished Airing,"Jul 8, 2021 to Sep 23, 2021",Summer 2021,Thursdays at 00,"Lantis,       ABC Animation,       Heart Company","None found, add some",Kyoto Animation,Manga,"Slice of LifeSlice of Life,         SupernaturalSupernatural",,,23 min. per ep.,PG-13 - Teens 13 or older,"8.231 (scored by 291186291,186 users)
      


1
          indicates a weighted score.","#3592

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#399,"582,231","5,788",,
2,2021,summer,Vanitas no Karte,The Case Study of Vanitas,https://cdn.myanimelist.net/images/anime/1401/118483.jpg,"Vanitas no Shuki, Memoir of Vanitas, Vanitas no Carte",ヴァニタスの手記,The Case Study of Vanitas,,,,TV,12,Finished Airing,"Jul 3, 2021 to Sep 18, 2021",Summer 2021,Saturdays at 00,"Aniplex,       Square Enix,       Hakuhodo DY Music & Pictures,       Contents Seed",Funimation,Bones,Manga,"ActionAction,         FantasyFantasy,         MysteryMystery","HistoricalHistorical,         Urban FantasyUrban Fantasy,         VampireVampire",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"7.901 (scored by 234788234,788 users)
      


1
          indicates a weighted score.","#8172

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#404,"576,940","7,877",,
3,2021,summer,Tsuki ga Michibiku Isekai Douchuu,Tsukimichi -Moonlit Fantasy-,https://cdn.myanimelist.net/images/anime/1950/116474.jpg,Moon-led Journey Across Another World,月が導く異世界道中,Tsukimichi -Moonlit Fantasy-,Tsukimichi,Tsukimichi,Tsukimichi,TV,12,Finished Airing,"Jul 7, 2021 to Sep 22, 2021",Summer 2021,Wednesdays at 23,"Mainichi Broadcasting System,       Nippon Television Network,       Tokyo MX,       Medicos Entertainment,       Nichion,       A-Sketch,       DMM pictures,       BS NTV,       AQUA ARIS,       NetEase,       AlphaPolis","None found, add some",C2C,Light novel,"ActionAction,         AdventureAdventure,         ComedyComedy,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.711 (scored by 266166266,166 users)
      


1
          indicates a weighted score.","#12692

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#477,"500,510","4,451",IsekaiIsekai,
4,2021,summer,Genjitsu Shugi Yuusha no Oukoku Saikenki,How a Realist Hero Rebuilt the Kingdom,https://cdn.myanimelist.net/images/anime/1297/118764.jpg,Re,現実主義勇者の王国再建記,How a Realist Hero Rebuilt the Kingdom,How a Realist Hero Rebuilt the Kingdom,How a Realist Hero Rebuilt the Kingdom,How a Realist Hero Rebuilt the Kingdom,TV,13,Finished Airing,"Jul 4, 2021 to Sep 26, 2021",Summer 2021,Sundays at 01,"KlockWorx,       King Records,       Overlap,       WOWMAX,       Yostar,       MIGHTY MEDIA",Funimation,J.C.Staff,Light novel,"ActionAction,         FantasyFantasy,         RomanceRomance","HaremHarem,         IsekaiIsekai,         MilitaryMilitary",,24 min. per ep.,PG-13 - Teens 13 or older,"7.251 (scored by 217128217,128 users)
      


1
          indicates a weighted score.","#31042

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#576,"424,570","2,685",,
5,2021,summer,Seirei Gensouki,Seirei Gensouki: Spirit Chronicles,https://cdn.myanimelist.net/images/anime/1836/116060.jpg,Spirit Chronicles,精霊幻想記,Seirei Gensouki,Seirei Gensouki,Seirei Gensouki,Seirei Gensouki,TV,12,Finished Airing,"Jul 6, 2021 to Sep 21, 2021",Summer 2021,Tuesdays at 02,"MediaNet,       Nippon Columbia,       KlockWorx,       Asmik Ace,       Hobby Japan,       BS Fuji,       Strawberry Meets Pictures,       Crunchyroll,       Kanon Sound,       NichiNare,       Melonbooks,       TMS Music,       CTW","None found, add some",TMS Entertainment,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy,         RomanceRomance","HaremHarem,         IsekaiIsekai,         ReincarnationReincarnation",,23 min. per ep.,PG-13 - Teens 13 or older,"7.071 (scored by 213498213,498 users)
      


1
          indicates a weighted score.","#40792

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#588,"417,026","3,393",,
6,2021,summer,Kanojo mo Kanojo,"Girlfriend, Girlfriend",https://cdn.myanimelist.net/images/anime/1713/117119.jpg,Kanokano,カノジョも彼女,"Girlfriend, Girlfriend","Girlfriend, Girlfriend","Girlfriend, Girlfriend","Girlfriend, Girlfriend",TV,12,Finished Airing,"Jul 3, 2021 to Sep 18, 2021",Summer 2021,Saturdays at 02,"Mainichi Broadcasting System,       Kodansha,       Half H.P Studio,       Nikkatsu,       NBCUniversal Entertainment Japan,       Forecast Communications,       Myrica Music","None found, add some",Tezuka Productions,Manga,"ComedyComedy,         RomanceRomance","HaremHarem,         SchoolSchool",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"6.521 (scored by 193932193,932 users)
      


1
          indicates a weighted score.","#69402

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#625,"397,835","2,517",,
7,2021,summer,"Tantei wa Mou, Shindeiru.",The Detective Is Already Dead,https://cdn.myanimelist.net/images/anime/1843/115815.jpg,Tanmoshi,探偵はもう、死んでいる。,The Detective Is Already Dead,,,,TV,12,Finished Airing,"Jul 4, 2021 to Sep 19, 2021",Summer 2021,Sundays at 21,"AT-X,       Kadokawa Media House,       Kadokawa,       INCS toenter",Funimation,ENGI,Light novel,"ComedyComedy,         MysteryMystery,         RomanceRomance",,,25 min. per ep.,PG-13 - Teens 13 or older,"6.411 (scored by 148784148,784 users)
      


1
          indicates a weighted score.","#76682

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#643,"390,257","3,194",DetectiveDetective,
8,2021,summer,Bokutachi no Remake,Remake Our Life!,https://cdn.myanimelist.net/images/anime/1871/118309.jpg,Bokurema,ぼくたちのリメイク,Remake Our Life!,Remake Our Life!,Remake our Life!,Remake Our Life!,TV,12,Finished Airing,"Jul 3, 2021 to Sep 25, 2021",Summer 2021,Saturdays at 21,"Studio Mausu,       bilibili,       Bushiroad Music,       DMM pictures,       Front Wing,       Bushiroad Move","None found, add some",feel.,Light novel,"DramaDrama,         RomanceRomance","Adult CastAdult Cast,         Time TravelTime Travel",,25 min. per ep.,PG-13 - Teens 13 or older,"7.391 (scored by 167473167,473 users)
      


1
          indicates a weighted score.","#24212

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#697,"361,603","2,456",,
9,2021,summer,Sonny Boy,,https://cdn.myanimelist.net/images/anime/1509/117149.jpg,,Sonny Boy (サニーボーイ),Sonny Boy,,,,TV,12,Finished Airing,"Jul 16, 2021 to Oct 1, 2021",Summer 2021,Fridays at 00,"Shochiku,       Marui Group,       BS Asahi",Funimation,Madhouse,Original,"Award WinningAward Winning,         MysteryMystery","IsekaiIsekai,         Super PowerSuper Power",,24 min. per ep.,PG-13 - Teens 13 or older,"7.821 (scored by 121516121,516 users)
      


1
          indicates a weighted score.","#10002

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#755,"339,214","7,654",,
10,2021,summer,Shinigami Bocchan to Kuro Maid,The Duke of Death and His Maid,https://cdn.myanimelist.net/images/anime/1471/115593.jpg,Young Master the Grim Reaper and the Black Maid,死神坊ちゃんと黒メイド,The Duke of Death and His Maid,,,,TV,12,Finished Airing,"Jul 4, 2021 to Sep 19, 2021",Summer 2021,Sundays at 22,"Shogakukan-Shueisha Productions,       Shogakukan Music & Digital Entertainment,       NBCUniversal Entertainment Japan,       BS11,       Shogakukan,       Yomiuri TV Enterprise,       Bandai Spirits",Funimation,J.C.Staff,Web manga,"ComedyComedy,         FantasyFantasy,         RomanceRomance","Love Status QuoLove Status Quo,         Urban FantasyUrban Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,"7.591 (scored by 101770101,770 users)
      


1
          indicates a weighted score.","#16162

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#982,"264,981","1,738",,
11,2021,summer,Jahy-sama wa Kujikenai!,The Great Jahy Will Not Be Defeated!,https://cdn.myanimelist.net/images/anime/1154/115599.jpg,Jahy-sama Won't Be Discouraged!,ジャヒー様はくじけない！,The Great Jahy Will Not Be Defeated!,,,,TV,20,Finished Airing,"Aug 1, 2021 to Dec 19, 2021",Summer 2021,Sundays at 02,"Square Enix,       Medicos Entertainment,       King Records,       Nagoya Broadcasting Network,       ABC Animation,       DMM pictures","None found, add some",SILVER LINK.,Manga,"ComedyComedy,         SupernaturalSupernatural",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.011 (scored by 8955889,558 users)
      


1
          indicates a weighted score.","#43252

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1006,"258,555","1,443",,
12,2021,summer,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,My Next Life as a Villainess: All Routes Lead to Doom! X,https://cdn.myanimelist.net/images/anime/1088/116439.jpg,"Hamefura X, I Reincarnated into an Otome Game as a Villainess With Only Destruction Flags…, Destruction Flag Otome",乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…X,My Next Life as a Villainess,My Next Life as a Villainess,My Next Life as a Villainess,My Next Life as a Villainess,TV,12,Finished Airing,"Jul 3, 2021 to Sep 18, 2021",Summer 2021,Saturdays at 01,Nichion,"None found, add some",SILVER LINK.,Light novel,"ComedyComedy,         FantasyFantasy,         RomanceRomance","IsekaiIsekai,         Reverse HaremReverse Harem,         SchoolSchool,         VillainessVillainess",ShoujoShoujo,23 min. per ep.,PG-13 - Teens 13 or older,"7.261 (scored by 111912111,912 users)
      


1
          indicates a weighted score.","#30702

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1018,"256,322","1,078",,
13,2021,summer,Uramichi Oniisan,Life Lessons with Uramichi-Oniisan,https://cdn.myanimelist.net/images/anime/1126/115635.jpg,,うらみちお兄さん,Life Lessons with Uramichi-Oniisan,,,,TV,13,Finished Airing,"Jul 6, 2021 to Sep 28, 2021",Summer 2021,Tuesdays at 01,"WOWOW,       Movic,       KlockWorx,       King Records,       Ichijinsha,       Marui Group,       Bit grooove promotion",Funimation,Studio Blanc.,Web manga,,"Adult CastAdult Cast,         Gag HumorGag Humor,         ShowbizShowbiz,         WorkplaceWorkplace",,23 min. per ep.,PG-13 - Teens 13 or older,"7.701 (scored by 9728897,288 users)
      


1
          indicates a weighted score.","#13072

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1030,"251,243","2,536",,ComedyComedy
14,2021,summer,Meikyuu Black Company,The Dungeon of Black Company,https://cdn.myanimelist.net/images/anime/1753/116290.jpg,,迷宮ブラックカンパニー,The Dungeon of Black Company,,,,TV,12,Finished Airing,"Jul 9, 2021 to Sep 24, 2021",Summer 2021,Fridays at 22,"Toy's Factory,       ABC Animation,       Jinnan Studio,       Kadokawa",Funimation,SILVER LINK.,Web manga,"ComedyComedy,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.221 (scored by 107437107,437 users)
      


1
          indicates a weighted score.","#32392

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1082,"239,767",863,IsekaiIsekai,
15,2021,summer,Deatte 5-byou de Battle,Battle Game in 5 Seconds,https://cdn.myanimelist.net/images/anime/1145/115565.jpg,"Dea5, Battle in 5 seconds after meeting.",出会って5秒でバトル,Battle Game in 5 Seconds,Battle Game in 5 Seconds,Battle Game in 5 Seconds,Battle Game in 5 Seconds,TV,12,Finished Airing,"Jul 13, 2021 to Sep 28, 2021",Summer 2021,Tuesdays at 00,"Shogakukan-Shueisha Productions,       Pony Canyon,       Bushiroad,       Studio A-CAT,       Tokyo MX,       Fields,       Kansai Telecasting,       BS11,       Bandai Spirits","None found, add some","SynergySP,       Vega Entertainment",Web manga,"ActionAction,         SuspenseSuspense","High Stakes GameHigh Stakes Game,         Strategy GameStrategy Game,         Super PowerSuper Power,         SurvivalSurvival",,23 min. per ep.,R - 17+ (violence & profanity),"6.751 (scored by 105227105,227 users)
      


1
          indicates a weighted score.","#55972

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1171,"222,346",934,,
16,2021,summer,Megami-ryou no Ryoubo-kun.,Mother of the Goddess' Dormitory,https://cdn.myanimelist.net/images/anime/1436/116410.jpg,,女神寮の寮母くん。,Mother of the Goddess' Dormitory,,,,TV,10,Finished Airing,"Jul 14, 2021 to Sep 15, 2021",Summer 2021,Wednesdays at 23,"AT-X,       Kadokawa Media House,       Kadokawa",Sentai Filmworks,asread.,Manga,"ComedyComedy,         RomanceRomance,         EcchiEcchi",,ShounenShounen,24 min. per ep.,R+ - Mild Nudity,"6.501 (scored by 8458784,587 users)
      


1
          indicates a weighted score.","#70532

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1217,"211,747","1,285",HaremHarem,
17,2021,summer,Heion Sedai no Idaten-tachi,The Idaten Deities Know Only Peace,https://cdn.myanimelist.net/images/anime/1293/115173.jpg,Idaten Deities in the Peaceful Generation,平穏世代の韋駄天達,The Idaten Deities Know Only Peace,The Idaten Deities Know Only Peace,The Idaten Deities Know Only Peace,The Idaten Deities Know Only Peace,TV,11,Finished Airing,"Jul 23, 2021 to Sep 28, 2021",Summer 2021,Fridays at 00,"Aniplex,       Dentsu,       Hakusensha,       Fuji TV,       GREE Entertainment","None found, add some",MAPPA,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,SeinenSeinen,22 min. per ep.,R - 17+ (violence & profanity),"7.611 (scored by 8040080,400 users)
      


1
          indicates a weighted score.","#15532

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1278,"199,939","1,630",MythologyMythology,
18,2021,summer,Peach Boy Riverside,,https://cdn.myanimelist.net/images/anime/1535/115023.jpg,,ピーチボーイリバーサイド,Peach Boy Riverside,,,,TV,12,Finished Airing,"Jul 1, 2021 to Sep 16, 2021",Summer 2021,Thursdays at 22,"VAP,       Sotsu,       Kodansha,       KlockWorx,       Tokyo MX,       Toy's Factory,       Exa International,       BS NTV,       AQUA ARIS,       Bit grooove promotion,       GREE Entertainment,       A3,       jeux d'eau,       Toei Advertising","None found, add some",Asahi Production,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"6.241 (scored by 7298672,986 users)
      


1
          indicates a weighted score.","#86412

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1330,"192,019",681,GoreGore,
19,2021,summer,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,I’m Standing on a Million Lives Season 2,https://cdn.myanimelist.net/images/anime/1424/117718.jpg,"I'm standing on 1,000,000 lives. Season 2",100万の命の上に俺は立っている,I’m Standing on a Million Lives Season 2,I'm Standing On A Million Lives Staffel 2,I'm Standing On A Million Lives Temporada 2,I'm Standing On A Million Lives Saison 2,TV,12,Finished Airing,"Jul 10, 2021 to Sep 25, 2021",Summer 2021,Saturdays at 00,Warner Bros. Japan,"None found, add some",Maho Film,Manga,"ActionAction,         AdventureAdventure,         DramaDrama,         FantasyFantasy",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"6.791 (scored by 8253682,536 users)
      


1
          indicates a weighted score.","#53982

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1431,"176,078",636,IsekaiIsekai,
20,2021,summer,Shiroi Suna no Aquatope,The Aquatope on White Sand,https://cdn.myanimelist.net/images/anime/1932/114952.jpg,Aquatope of White Sand,白い砂のアクアトープ,The Aquatope on White Sand,The Aquatope On The White Sand,The Aquatope on White Sand,The Aquatope On White Sand,TV,24,Finished Airing,"Jul 9, 2021 to Dec 17, 2021",Summer 2021,Fridays at 00,"BS Fuji,       Tokyo MX,       Infinite,       Forecast Communications,       Kadokawa Media House,       DMM pictures,       Bandai Namco Arts,       AQUA ARIS","None found, add some",P.A. Works,Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.511 (scored by 5331953,319 users)
      


1
          indicates a weighted score.","#19032

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1435,"175,827","1,409",WorkplaceWorkplace,DramaDrama
21,2021,summer,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,Drug Store in Another World: The Slow Life of a Cheat Pharmacist,https://cdn.myanimelist.net/images/anime/1787/115817.jpg,Cheat Pharmacist's Slow Life,チート薬師のスローライフ～異世界に作ろうドラッグストア～,Drug Store in Another World,Drug Store in Another World,Drug Store in Another World,Drug Store in Another World,TV,12,Finished Airing,"Jul 7, 2021 to Sep 22, 2021",Summer 2021,Wednesdays at 22,"Studio Mausu,       BS11,       Crunchyroll,       Yomiuri TV Enterprise,       NichiNare,       Live Viewing Japan,       Bandai Namco Arts,       Video Market,       MediaNet Pictures,       Tohjak,       Hifumi Shobo","None found, add some",EMT Squared,Light novel,"ComedyComedy,         FantasyFantasy","IsekaiIsekai,         MedicalMedical",,23 min. per ep.,PG-13 - Teens 13 or older,"6.451 (scored by 6030760,307 users)
      


1
          indicates a weighted score.","#73712

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1600,"155,721",623,,
22,2021,summer,Re-Main,,https://cdn.myanimelist.net/images/anime/1838/114857.jpg,,RE-MAIN（リメイン）,Re-Main,,,,TV,12,Finished Airing,"Jul 4, 2021 to Oct 3, 2021",Summer 2021,Sundays at 01,Bandai Namco Arts,Funimation,MAPPA,Original,,"SchoolSchool,         Team SportsTeam Sports",,23 min. per ep.,PG-13 - Teens 13 or older,"7.191 (scored by 5376153,761 users)
      


1
          indicates a weighted score.","#34112

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1709,"142,296",873,,SportsSports
23,2021,summer,Mahouka Koukou no Yuutousei,The Honor Student at Magic High School,https://cdn.myanimelist.net/images/anime/1719/116262.jpg,,魔法科高校の優等生,The Honor Student at Magic High School,,,,TV,13,Finished Airing,"Jul 3, 2021 to Sep 25, 2021",Summer 2021,Saturdays at 23,Aniplex,Aniplex of America,Connect,Manga,"FantasyFantasy,         Sci-FiSci-Fi","SchoolSchool,         Urban FantasyUrban Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,"6.681 (scored by 4463544,635 users)
      


1
          indicates a weighted score.","#60102

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1731,"139,797",734,,
24,2021,summer,Higurashi no Naku Koro ni Sotsu,Higurashi: When They Cry – SOTSU,https://cdn.myanimelist.net/images/anime/1083/115046.jpg,"When the Cicadas Cry, The Moment the Cicadas Cry",ひぐらしのなく頃に卒,Higurashi,,,,TV,15,Finished Airing,"Jul 1, 2021 to Sep 30, 2021",Summer 2021,Thursdays at 23,"None found, add some",Funimation,Passione,Visual novel,"HorrorHorror,         MysteryMystery,         SuspenseSuspense","GoreGore,         PsychologicalPsychological",,23 min. per ep.,R - 17+ (violence & profanity),"6.731 (scored by 4876448,764 users)
      


1
          indicates a weighted score.","#57522

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1958,"118,917",787,,
25,2021,summer,Scarlet Nexus,,https://cdn.myanimelist.net/images/anime/1314/116004.jpg,,SCARLET NEXUS,Scarlet Nexus,,,,TV,26,Finished Airing,"Jul 1, 2021 to Dec 23, 2021",Summer 2021,Thursdays at 22,"Sunrise Music,       Bandai Namco Arts",Funimation,Sunrise,Game,"ActionAction,         Sci-FiSci-Fi","MilitaryMilitary,         Super PowerSuper Power",,24 min. per ep.,PG-13 - Teens 13 or older,"5.711 (scored by 2763427,634 users)
      


1
          indicates a weighted score.","#113012

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2199,"101,733",501,,
26,2021,summer,Kageki Shoujo!!,Kageki Shojo!!,https://cdn.myanimelist.net/images/anime/1944/114427.jpg,"The Curtain Rises, Opera Girl!",かげきしょうじょ!!,Kageki Shojo!!,,,,TV,13,Finished Airing,"Jul 4, 2021 to Sep 26, 2021",Summer 2021,Sundays at 00,"Hakusensha,       King Records",Funimation,PINE JAM,Manga,,"Performing ArtsPerforming Arts,         SchoolSchool",ShoujoShoujo,24 min. per ep.,PG-13 - Teens 13 or older,"7.721 (scored by 2803028,030 users)
      


1
          indicates a weighted score.","#12372

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2396,"88,045",511,,DramaDrama
27,2021,summer,Love Live! Superstar!!,,https://cdn.myanimelist.net/images/anime/1758/115692.jpg,,ラブライブ！スーパースター!!,Love Live! SuperStar!!,,,,TV,12,Finished Airing,"Jul 11, 2021 to Oct 17, 2021",Summer 2021,Sundays at 19,"Kadokawa,       Bandai Namco Arts",Funimation,Sunrise,Other,,"Idols (Female)Idols (Female),         MusicMusic,         SchoolSchool",,23 min. per ep.,PG-13 - Teens 13 or older,"7.921 (scored by 2865928,659 users)
      


1
          indicates a weighted score.","#7892

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2673,"73,961","1,123",,Slice of LifeSlice of Life
28,2021,summer,Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd Season - Kakusei Zenya,Magia Record: Puella Magi Madoka Magica Side Story Season 2 - The Eve of Awakening,https://cdn.myanimelist.net/images/anime/1919/116424.jpg,,マギアレコード 魔法少女まどか☆マギカ外伝 2nd SEASON -覚醒前夜-,Magia Record,Magia Record,Magia Record,Magia Record,TV,8,Finished Airing,"Aug 1, 2021 to Sep 26, 2021",Summer 2021,Sundays at 00,"Aniplex,       Houbunsha,       f4samurai",Aniplex of America,Shaft,Game,"DramaDrama,         SuspenseSuspense","Mahou ShoujoMahou Shoujo,         PsychologicalPsychological",,23 min. per ep.,PG-13 - Teens 13 or older,"7.001 (scored by 2136221,362 users)
      


1
          indicates a weighted score.","#43922

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2785,"69,348",448,,
29,2021,summer,Night Head 2041,,https://cdn.myanimelist.net/images/anime/1819/116662.jpg,,NIGHT HEAD 2041,Night Head 2041,,,,TV,12,Finished Airing,"Jul 15, 2021 to Sep 30, 2021",Summer 2021,Thursdays at 00,"Fuji TV,       Slow Curve,       BS Fuji,       Hakuhodo DY Media Partners,       Office ENDLESS","None found, add some",Shirogumi,Other,"DramaDrama,         MysteryMystery,         Sci-FiSci-Fi,         SuspenseSuspense","PsychologicalPsychological,         Super PowerSuper Power",,22 min. per ep.,R - 17+ (violence & profanity),"6.501 (scored by 1047910,479 users)
      


1
          indicates a weighted score.","#70572

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3453,"46,512",313,,
